,id,source,target,length_m,X,Y,name,charging_stations,model_type,range,capacity
51,10051,8863074,8863762,11350.240892031743,5.590941145550115,52.63454459081065,"('8863074', '8863762')",,link,150000,600
52,10052,8863074,8862210,2390.526626829499,5.64796822568055,52.610406705237445,"('8863074', '8862210')",,link,150000,600
53,10053,8863360,8865214,13850.69353111389,4.67914334913704,52.06685297483095,"('8863360', '8865214')",,link,150000,600
54,10054,8863360,8862716,14856.774475072614,4.659476950146165,52.16988661257155,"('8863360', '8862716')",,link,150000,600
55,10055,8863796,8862592,1460.6439182086408,4.90428366444431,52.3815368789814,"('8863796', '8862592')",,link,150000,600
56,10056,8863796,8865186,2125.464097906425,4.8913661710525655,52.38594780549665,"('8863796', '8865186')",,link,150000,600
57,10057,8867829,8867515,4976.985453292856,5.075761208313255,52.3730874538692,"('8867829', '8867515')",,link,150000,600
58,10058,8867829,8861611,44561.924733664404,5.27943138220303,52.3103901808763,"('8867829', '8861611')",,link,150000,600
59,10059,8867829,8865887,13081.040789248524,5.057590068578855,52.33221537890485,"('8867829', '8865887')",,link,150000,600
60,10060,8866570,8863048,3204.746699173358,4.664164301877265,51.84004798596505,"('8866570', '8863048')",,link,150000,600
61,10061,8866570,8863131,831.6178353275283,4.670095956949595,51.82571585065565,"('8866570', '8863131')",,link,150000,600
62,10062,22638156,8867148,87.29410845238024,5.754916964266135,50.9735853004934,"('22638156', '8867148')",,link,150000,600
63,10063,8861996,8865631,1862.9807402706147,5.4530320032387145,51.8862988523893,"('8861996', '8865631')",,link,150000,600
64,10064,8861996,8862202,13480.952406888953,5.41153997044016,51.92033860006615,"('8861996', '8862202')",,link,150000,600
65,10065,8861996,8865412,8678.919879769393,5.4997890230937845,51.8929122023806,"('8861996', '8865412')",,link,150000,600
66,10066,8864494,8861611,703.5612088596363,5.465390555616815,52.257545605355205,"('8864494', '8861611')",,link,150000,600
67,10067,8863518,8864435,18698.984476140635,5.982285413508626,53.1267838505417,"('8863518', '8864435')",,link,150000,600
68,10068,8864526,8862690,7646.1206187269345,5.49599821587999,52.48336874277225,"('8864526', '8862690')",,link,150000,600
69,10069,8867910,8864151,1655.7769099938287,4.96715494547205,51.829730875143795,"('8867910', '8864151')",,link,150000,600
70,10070,8867910,8863019,690.3248762319221,4.975721405148805,51.83494896182645,"('8867910', '8863019')",,link,150000,600
71,10071,8863105,8862858,665.1158085561353,3.81676705330237,51.34647877680645,"('8863105', '8862858')",,link,150000,600
72,10072,8863105,8863891,8196.865759687154,3.7785163367817898,51.35669641662195,"('8863105', '8863891')",,link,150000,600
73,10073,8862716,8865186,35117.6542642193,4.764482890428191,52.30454522615565,"('8862716', '8865186')",,link,150000,600
74,10074,8862716,8866306,9864.727392175579,4.600704093781726,52.21999885317446,"('8862716', '8866306')",,link,150000,600
75,10075,8863656,8866429,2002.9581465276578,4.8158436450884405,52.4136201408064,"('8863656', '8866429')",,link,150000,600
76,10076,8866686,8865140,1910.6073697711045,4.624423240273015,51.882727302122355,"('8866686', '8865140')",,link,150000,600
77,10077,8866686,8863048,4354.183792219704,4.64449894714174,51.863416790395355,"('8866686', '8863048')",,link,150000,600
78,10078,22638320,8864553,318.6481160065551,5.964697068551989,51.6824505362884,"('22638320', '8864553')",,link,150000,600
79,10079,8861499,8861829,9207.827673199386,5.371424370079165,52.50366133935115,"('8861499', '8861829')",,link,150000,600
80,10080,8861499,8864076,14657.796074342363,5.27021080358552,52.4694405549222,"('8861499', '8864076')",,link,150000,600
