,id,source,target,length_m,X,Y,name,charging_stations,model_type
79,10079,8862776,8865140,19083.316571074705,4.7026760543878705,51.904077389579605,"('8862776', '8865140')",,link
80,10080,8867500,8865140,4548.7114559023,4.599769118999225,51.89577170179895,"('8867500', '8865140')",,link
81,10081,8867500,8863742,3010.574501261619,4.567076573139815,51.9040031878656,"('8867500', '8863742')",,link
82,10082,8867500,8867374,2903.957468619093,4.578663172039355,51.9082009262004,"('8867500', '8867374')",,link
83,10083,8861568,8865644,2195.066624197709,4.779183795791155,52.95139464358204,"('8861568', '8865644')",,link
84,10084,8863048,8866570,3204.746699173358,4.664164301877265,51.84004798596505,"('8863048', '8866570')",,link
85,10085,8862340,8860631,1558.4441908427393,5.346180601146985,51.95838008678224,"('8862340', '8860631')",,link
86,10086,8862340,8862202,1104.0932076450106,5.35735470389156,51.953953022719546,"('8862340', '8862202')",,link
87,10087,8865803,8861716,3404.805972468202,4.326768204132335,51.880682762367854,"('8865803', '8861716')",,link
88,10088,8865803,8864737,11931.86907901251,4.38275508454935,51.851827797457254,"('8865803', '8864737')",,link
89,10089,8865756,30986055,2481.139176292334,5.41235034838725,53.17849950966385,"('8865756', '30986055')",,link
90,10090,8867901,8863596,1022.9995319265565,5.7705211488269645,52.58365519986249,"('8867901', '8863596')",,link
91,10091,8867403,8860563,8931.941743932814,5.263558446595235,52.67423930961155,"('8867403', '8860563')",,link
92,10092,8863131,8867986,584.9264533641734,4.673586216198215,51.82149435383915,"('8863131', '8867986')",,link
93,10093,8863131,8866570,831.6178353275283,4.670095956949595,51.82571585065565,"('8863131', '8866570')",,link
94,10094,8863131,8863665,6109.629444359677,4.6461535999396,51.81104328684425,"('8863131', '8863665')",,link
95,10095,8866429,8863656,2002.9581465276578,4.8158436450884405,52.4136201408064,"('8866429', '8863656')",,link
96,10096,8868191,8863596,13065.594194231064,5.832828392251685,52.5778515805241,"('8868191', '8863596')",,link
