,length,condition,lat,lon,model_type,id,road,name
456,954.5,A,22.32664514,91.85275939,bridge,10456,N1,xyz
457,1617,NaN,22.31978582,91.85447065,link,10457,N1,xyz
458,17.3,A,22.31292651,91.85618192,bridge,10458,N1,xyz
459,862,NaN,22.30969213,91.85831547,link,10459,N1,xyz
460,15.2,C,22.30645776,91.86044903,bridge,10460,N1,xyz
461,541,NaN,22.30454065,91.86200686,link,10461,N1,xyz
462,3,A,22.30262355,91.8635647,bridge,10462,N1,xyz
463,308,NaN,22.30145434,91.86443136,link,10463,N1,xyz
464,5.7,B,22.30028513,91.86529803,bridge,10464,N1,xyz
465,326,NaN,22.29891008,91.86583053,link,10465,N1,xyz
466,3,A,22.29753503,91.86636303,bridge,10466,N1,xyz
467,541,NaN,22.29538583,91.86739955,link,10467,N1,xyz
468,1.5,A,22.29323663,91.86843607,bridge,10468,N1,xyz
469,304,NaN,22.29243939,91.8693636,link,10469,N1,xyz
470,3,A,22.29164214,91.87029114,bridge,10470,N1,xyz
471,322,NaN,22.29212504,91.87165563,link,10471,N1,xyz
472,3,A,22.29260793,91.87302012,bridge,10472,N1,xyz
473,440,NaN,22.29353664,91.87486904,link,10473,N1,xyz
474,3,A,22.29446535,91.87671797,bridge,10474,N1,xyz
475,257,NaN,22.29536761,91.87873539,link,10475,N1,xyz
476,116.13,A,22.29626987,91.8807528,bridge,10476,N1,xyz
477,968,NaN,22.2975534,91.88405204,link,10477,N1,xyz
478,3,B,22.29883692,91.88735128,bridge,10478,N1,xyz
479,1271,NaN,22.30046975,91.89330478,link,10479,N1,xyz
480,3.1,B,22.30210258,91.89925828,bridge,10480,N1,xyz
481,556,NaN,22.30281956,91.9018405,link,10481,N1,xyz
482,3,A,22.30353655,91.90442272,bridge,10482,N1,xyz
483,1172,NaN,22.30592777,91.90931901,link,10483,N1,xyz
484,3,A,22.30831899,91.9142153,bridge,10484,N1,xyz
485,873,NaN,22.31103684,91.91726647,link,10485,N1,xyz
486,3,A,22.31375468,91.92031764,bridge,10486,N1,xyz
487,512,NaN,22.31475075,91.92233503,link,10487,N1,xyz
488,3,A,22.31574681,91.92435241,bridge,10488,N1,xyz
489,1050,NaN,22.31475168,91.92916782,link,10489,N1,xyz
490,5.3,A,22.31375656,91.93398323,bridge,10490,N1,xyz
491,1855,NaN,22.31109799,91.94118596,link,10491,N1,xyz
492,3,A,22.30843941,91.9483887,bridge,10492,N1,xyz
493,2321,NaN,22.30452051,91.95711724,link,10493,N1,xyz
494,50.3,B,22.3006016,91.96584577,bridge,10494,N1,xyz
495,2253,NaN,22.2958734,91.9746063,link,10495,N1,xyz
496,12.4,A,22.2911452,91.98336683,bridge,10496,N1,xyz
497,1114,NaN,22.28853861,91.98783801,link,10497,N1,xyz
498,61,B,22.28593202,91.9923092,bridge,10498,N1,xyz
499,941,NaN,22.28353724,91.99593318,link,10499,N1,xyz
500,14,B,22.28114247,91.99955717,bridge,10500,N1,xyz
501,1394,NaN,22.27611602,92.00257721,link,10501,N1,xyz
502,3,A,22.27108957,92.00559725,bridge,10502,N1,xyz
503,1136,NaN,22.26612547,92.00645042,link,10503,N1,xyz
504,15.2,B,22.26116137,92.00730358,bridge,10504,N1,xyz
505,245,NaN,22.26010648,92.00770735,link,10505,N1,xyz
506,9.8,C,22.25905159,92.00811112,bridge,10506,N1,xyz
507,522,NaN,22.25699453,92.00920663,link,10507,N1,xyz
508,9.2,A,22.25493748,92.01030213,bridge,10508,N1,xyz
509,269,NaN,22.25402872,92.011137,link,10509,N1,xyz
510,6,A,22.25311996,92.01197187,bridge,10510,N1,xyz
511,652,NaN,22.25091649,92.01390299,link,10511,N1,xyz
512,9.4,A,22.24871301,92.0158341,bridge,10512,N1,xyz
513,1248,NaN,22.24454959,92.01881297,link,10513,N1,xyz
514,14,A,22.24038616,92.02179183,bridge,10514,N1,xyz
515,466,NaN,22.23851036,92.02252829,link,10515,N1,xyz
516,14,A,22.23663455,92.02326475,bridge,10516,N1,xyz
517,652,NaN,22.23406619,92.02411521,link,10517,N1,xyz
518,12.7,B,22.23149782,92.02496566,bridge,10518,N1,xyz
519,435,NaN,22.22877934,92.02571535,link,10519,N1,xyz
520,9.4,B,22.22606085,92.02646504,bridge,10520,N1,xyz
521,435,NaN,22.22416642,92.02692182,link,10521,N1,xyz
522,14,A,22.22227199,92.0273786,bridge,10522,N1,xyz
523,782,NaN,22.21892967,92.02820082,link,10523,N1,xyz
524,9.2,A,22.21558735,92.02902304,bridge,10524,N1,xyz
525,1283,NaN,22.211345,92.03267775,link,10525,N1,xyz
526,50.4,C,22.20710265,92.03633247,bridge,10526,N1,xyz
527,338,NaN,22.20604321,92.03733185,link,10527,N1,xyz
528,9.2,B,22.20498376,92.03833123,bridge,10528,N1,xyz
529,4018,NaN,22.18945083,92.04581189,link,10529,N1,xyz
530,12.3,B,22.1739179,92.05329254,bridge,10530,N1,xyz
531,2695,NaN,22.16627259,92.06074943,link,10531,N1,xyz
532,211,B,22.15862728,92.06820631,bridge,10532,N1,xyz
533,1140,NaN,22.1542398,92.06891969,link,10533,N1,xyz
534,9.2,A,22.14985231,92.06963307,bridge,10534,N1,xyz
535,1446,NaN,22.14340227,92.0697816,link,10535,N1,xyz
536,12.4,A,22.13695223,92.06993013,bridge,10536,N1,xyz
537,500,NaN,22.13473654,92.07004333,link,10537,N1,xyz
538,15.4,A,22.13252084,92.07015654,bridge,10538,N1,xyz
539,298,NaN,22.13121844,92.0703795,link,10539,N1,xyz
540,33.65,A,22.12991603,92.07060247,bridge,10540,N1,xyz
541,253,NaN,22.12882491,92.07080185,link,10541,N1,xyz
542,27.9,A,22.1277338,92.07100123,bridge,10542,N1,xyz
543,513,NaN,22.1254057,92.07135114,link,10543,N1,xyz
544,15.4,A,22.1230776,92.07170105,bridge,10544,N1,xyz
545,343,NaN,22.12178255,92.07183578,link,10545,N1,xyz
546,20.4,A,22.1204875,92.07197051,bridge,10546,N1,xyz
547,842,NaN,22.11691999,92.07232871,link,10547,N1,xyz
548,5,A,22.11335249,92.0726869,bridge,10548,N1,xyz
549,1560,NaN,22.10581553,92.07374366,link,10549,N1,xyz
550,7.2,A,22.09827857,92.07480042,bridge,10550,N1,xyz
551,830,NaN,22.09592804,92.07765261,link,10551,N1,xyz
552,11.2,A,22.0935775,92.0805048,bridge,10552,N1,xyz
553,1707,NaN,22.08882217,92.08685087,link,10553,N1,xyz
554,2,A,22.08406683,92.09319694,bridge,10554,N1,xyz
555,708,NaN,22.08229372,92.09584123,link,10555,N1,xyz
556,12.6,A,22.08052061,92.09848553,bridge,10556,N1,xyz
557,1400,NaN,22.07504034,92.10138048,link,10557,N1,xyz
558,30.3,A,22.06956008,92.10427542,bridge,10558,N1,xyz
559,236,NaN,22.06873502,92.10491421,link,10559,N1,xyz
560,2,A,22.06790996,92.105553,bridge,10560,N1,xyz
561,525,NaN,22.06583334,92.10632956,link,10561,N1,xyz
562,38.5,A,22.06375672,92.10710611,bridge,10562,N1,xyz
563,330,NaN,22.06232143,92.10741974,link,10563,N1,xyz
564,2.5,A,22.06088615,92.10773337,bridge,10564,N1,xyz
565,510,NaN,22.05869563,92.10840941,link,10565,N1,xyz
566,8.2,A,22.05650512,92.10908546,bridge,10566,N1,xyz
567,512,NaN,22.05421738,92.10907342,link,10567,N1,xyz
568,12.6,A,22.05192964,92.10906139,bridge,10568,N1,xyz
569,387,NaN,22.05015048,92.10862762,link,10569,N1,xyz
570,6,A,22.04837132,92.10819385,bridge,10570,N1,xyz
571,535,NaN,22.04623379,92.1076284,link,10571,N1,xyz
572,13.64,A,22.04409626,92.10706295,bridge,10572,N1,xyz
573,836,NaN,22.04084305,92.10552603,link,10573,N1,xyz
574,2.5,A,22.03758985,92.10398911,bridge,10574,N1,xyz
575,652,NaN,22.03472737,92.10405689,link,10575,N1,xyz
576,2.5,A,22.03186488,92.10412467,bridge,10576,N1,xyz
577,377,NaN,22.03028312,92.103777,link,10577,N1,xyz
578,68.8,A,22.02870136,92.10342933,bridge,10578,N1,xyz
579,322,NaN,22.02735296,92.10306304,link,10579,N1,xyz
580,2,A,22.02600455,92.10269674,bridge,10580,N1,xyz
581,650,NaN,22.02325129,92.10206226,link,10581,N1,xyz
582,10,A,22.02049803,92.10142777,bridge,10582,N1,xyz
583,1831,NaN,22.01415904,92.09710217,link,10583,N1,xyz
584,3,A,22.00782005,92.09277658,bridge,10584,N1,xyz
585,492,NaN,22.00599633,92.09167261,link,10585,N1,xyz
586,12.6,A,22.00417261,92.09056863,bridge,10586,N1,xyz
587,508,NaN,22.00230113,92.08944401,link,10587,N1,xyz
