,length,condition,lat,lon,intersection,model_type,id,road,name
1539,12,A,24.0523182,91.16679065,,bridge,11539,N2,
1540,12,NaN,24.05230932,91.16685079,0,link,11540,N2,
1541,10.45,A,24.05230045,91.16691092,,bridge,11541,N2,
1542,905,NaN,24.05066648,91.17089561,0,link,11542,N2,
1543,203.75,C,24.04903251,91.17488031,,bridge,11543,N2,
1544,626,NaN,24.04674655,91.17606447,0,link,11544,N2,
1545,26.95,A,24.04446059,91.17724863,,bridge,11545,N2,
1546,985,NaN,24.04362563,91.18153553,0,link,11546,N2,
1547,4,C,24.04279068,91.18582244,,bridge,11547,N2,
1548,1001,NaN,24.04286543,91.1907871,0,link,11548,N2,
1549,10.4,A,24.04294019,91.19575176,,bridge,11549,N2,
1550,489,NaN,24.04300873,91.19814501,0,link,11550,N2,
1551,10.4,A,24.04307727,91.20053827,,bridge,11551,N2,
1552,418,NaN,24.04302375,91.20254416,0,link,11552,N2,
1553,64.1,C,24.04297024,91.20455004,,bridge,11553,N2,
1554,661,NaN,24.04184824,91.20735378,0,link,11554,N2,
1555,33.7,A,24.04072624,91.21015753,,bridge,11555,N2,
1556,410,NaN,24.04134907,91.21199541,0,link,11556,N2,
1557,27.03,C,24.0419719,91.2138333,,bridge,11557,N2,
1558,405,NaN,24.04257229,91.21572079,0,link,11558,N2,
1559,26,A,24.04317268,91.21760828,,bridge,11559,N2,
1560,28,NaN,24.04321413,91.21773921,0,link,11560,N2,
1561,4,A,24.04325559,91.21787014,,bridge,11561,N2,
1562,2344,NaN,24.04654715,91.22845193,0,link,11562,N2,
1563,64.58,A,24.04983872,91.23903373,,bridge,11563,N2,
1564,964,NaN,24.05358863,91.24146261,0,link,11564,N2,
1565,4,A,24.05733855,91.24389149,,bridge,11565,N2,
1566,1337,NaN,24.06164324,91.24848075,0,link,11566,N2,
1567,9.3,A,24.06594792,91.25307002,,bridge,11567,N2,
1568,502,NaN,24.06752598,91.25484772,0,link,11568,N2,
1569,3.5,B,24.06910404,91.25662542,,bridge,11569,N2,
1570,531,NaN,24.07078322,91.25846765,0,link,11570,N2,
1571,12.3,A,24.07246241,91.26030988,,bridge,11571,N2,
1572,843,NaN,24.07516603,91.26321951,0,link,11572,N2,
1573,9,A,24.07786964,91.26612914,,bridge,11573,N2,
1574,1257,NaN,24.08005992,91.27117529,0,link,11574,N2,
1575,3.5,A,24.0822502,91.27622143,,bridge,11575,N2,
1576,509,NaN,24.08267339,91.27848884,0,link,11576,N2,
1577,4,A,24.08309658,91.28075625,,bridge,11577,N2,
1578,413,NaN,24.08416871,91.28238428,0,link,11578,N2,
1579,10.3,A,24.08524083,91.28401231,,bridge,11579,N2,
1580,839,NaN,24.08807728,91.28625793,0,link,11580,N2,
1581,66,B,24.09091373,91.28850355,,bridge,11581,N2,
1582,746,NaN,24.09408101,91.28982792,0,link,11582,N2,
1583,3,A,24.09724829,91.2911523,,bridge,11583,N2,
1584,1057,NaN,24.10075365,91.2945486,0,link,11584,N2,
1585,19.5,A,24.10425901,91.2979449,,bridge,11585,N2,
1586,762,NaN,24.10702776,91.30017742,0,link,11586,N2,
1587,37.2,C,24.10979652,91.30240995,,bridge,11587,N2,
1588,1247,NaN,24.11384819,91.30662991,0,link,11588,N2,
1589,4,A,24.11789987,91.31084988,,bridge,11589,N2,
1590,932,NaN,24.12112959,91.31381407,0,link,11590,N2,
1591,30,A,24.12435931,91.31677826,,bridge,11591,N2,
1592,1108,NaN,24.12857105,91.31949501,0,link,11592,N2,
1593,25,A,24.13278279,91.32221176,,bridge,11593,N2,
1594,759,NaN,24.13594656,91.32362097,0,link,11594,N2,
1595,40.75,A,24.13911033,91.32503018,,bridge,11595,N2,
1596,1063,NaN,24.14157163,91.32930141,0,link,11596,N2,
1597,23,A,24.14403293,91.33357264,,bridge,11597,N2,
1598,901,NaN,24.14519928,91.33781274,0,link,11598,N2,
1599,2,B,24.14636563,91.34205284,,bridge,11599,N2,
1600,208,NaN,24.14662787,91.34303728,0,link,11600,N2,
1601,2,A,24.14689012,91.34402172,,bridge,11601,N2,
1602,201,NaN,24.14721666,91.34492168,0,link,11602,N2,
1603,10.6,A,24.14754319,91.34582165,,bridge,11603,N2,
1604,75,NaN,24.147702,91.34613287,0,link,11604,N2,
1605,4,,24.1478608,91.3464441,N204,intersection,11605,N2,
1606,316,NaN,24.14915033,91.34706082,0,link,11606,N2,
1607,2,C,24.15043987,91.34767755,,bridge,11607,N2,
1608,476,NaN,24.15247464,91.34823089,0,link,11608,N2,
1609,4.25,A,24.15450942,91.34878423,,bridge,11609,N2,
1610,198,NaN,24.15539502,91.34880756,0,link,11610,N2,
1611,10.6,A,24.15628062,91.34883088,,bridge,11611,N2,
1612,256,NaN,24.15756311,91.3488678,0,link,11612,N2,
1613,2,A,24.15884559,91.34890472,,bridge,11613,N2,
1614,231,NaN,24.15979964,91.3489292,0,link,11614,N2,
1615,9,A,24.16075369,91.34895368,,bridge,11615,N2,
1616,219,NaN,24.16167919,91.34898232,0,link,11616,N2,
1617,7.2,A,24.1626047,91.34901096,,bridge,11617,N2,
1618,345,NaN,24.16414597,91.34901918,0,link,11618,N2,
1619,8.2,A,24.16568724,91.3490274,,bridge,11619,N2,
1620,162,NaN,24.16640475,91.3490274,0,link,11620,N2,
1621,6.4,B,24.16712225,91.3490274,,bridge,11621,N2,
1622,301,NaN,24.16846332,91.3490274,0,link,11622,N2,
1623,3.1,A,24.1698044,91.3490274,,bridge,11623,N2,
1624,237,NaN,24.17091602,91.3490413,0,link,11624,N2,
1625,4.2,A,24.17202765,91.3490552,,bridge,11625,N2,
1626,470,NaN,24.17414442,91.34918594,0,link,11626,N2,
1627,1.6,A,24.1762612,91.34931669,,bridge,11627,N2,
1628,694,NaN,24.17937744,91.34973557,0,link,11628,N2,
1629,17.12,A,24.18249368,91.35015446,,bridge,11629,N2,
1630,652,NaN,24.18541875,91.35033558,0,link,11630,N2,
1631,5.32,A,24.18834382,91.35051671,,bridge,11631,N2,
1632,344,NaN,24.18987679,91.35052225,0,link,11632,N2,
1633,6.22,A,24.19140975,91.3505278,,bridge,11633,N2,
1634,491,NaN,24.19358777,91.35061475,0,link,11634,N2,
1635,3.5,A,24.19576578,91.35070171,,bridge,11635,N2,
1636,428,NaN,24.19767591,91.35093379,0,link,11636,N2,
1637,7.8,A,24.19958604,91.35116588,,bridge,11637,N2,
1638,212,NaN,24.20050584,91.35131001,0,link,11638,N2,
1639,2,A,24.20142565,91.35145413,,bridge,11639,N2,
1640,462,NaN,24.20343643,91.352016,0,link,11640,N2,
1641,4.3,A,24.20544722,91.35257787,,bridge,11641,N2,
1642,146,NaN,24.20605554,91.3528853,0,link,11642,N2,
1643,2.15,A,24.20666387,91.35319272,,bridge,11643,N2,
1644,257,NaN,24.20761202,91.35383399,0,link,11644,N2,
1645,29.5,A,24.20856017,91.35447525,,bridge,11645,N2,
1646,463,NaN,24.210303,91.35571943,0,link,11646,N2,
1647,3.3,A,24.21204583,91.35696361,,bridge,11647,N2,
1648,650,NaN,24.21432521,91.35893023,0,link,11648,N2,
1649,6.3,A,24.21660459,91.36089684,,bridge,11649,N2,
1650,156,NaN,24.21713119,91.36139017,0,link,11650,N2,
1651,4.3,A,24.21765778,91.36188351,,bridge,11651,N2,
1652,178,NaN,24.2182716,91.36242487,0,link,11652,N2,
1653,6.6,A,24.21888543,91.36296624,,bridge,11653,N2,
1654,218,NaN,24.21975081,91.36346392,0,link,11654,N2,
1655,5.3,A,24.2206162,91.3639616,,bridge,11655,N2,
1656,285,NaN,24.22188236,91.36433964,0,link,11656,N2,
1657,8.1,A,24.22314852,91.36471769,,bridge,11657,N2,
1658,452,NaN,24.22510866,91.36497785,0,link,11658,N2,
1659,2,A,24.2270688,91.365238,,bridge,11659,N2,
1660,64,NaN,24.22734794,91.36537658,0,link,11660,N2,
1661,6.6,A,24.22762708,91.36551516,,bridge,11661,N2,
1662,123,NaN,24.22816356,91.36578148,0,link,11662,N2,
1663,4.3,A,24.22870003,91.36604781,,bridge,11663,N2,
1664,430,NaN,24.23055807,91.36667174,0,link,11664,N2,
1665,2,A,24.2324161,91.36729567,,bridge,11665,N2,
1666,107,NaN,24.23288379,91.36741691,0,link,11666,N2,
1667,1.5,A,24.23335149,91.36753815,,bridge,11667,N2,
1668,455,NaN,24.23537034,91.36796461,0,link,11668,N2,
1669,1.5,A,24.23738919,91.36839107,,bridge,11669,N2,
1670,304,NaN,24.2387468,91.3687028,0,link,11670,N2,
1671,1.5,A,24.24010442,91.36901453,,bridge,11671,N2,
1672,615,NaN,24.24274819,91.36978343,0,link,11672,N2,
1673,6.6,A,24.24539197,91.37055233,,bridge,11673,N2,
1674,349,NaN,24.2468802,91.37105376,0,link,11674,N2,
1675,1.5,A,24.24836843,91.37155519,,bridge,11675,N2,
1676,330,NaN,24.24969851,91.37220365,0,link,11676,N2,
1677,3.3,A,24.2510286,91.37285211,,bridge,11677,N2,
1678,383,NaN,24.25249866,91.37380255,0,link,11678,N2,
1679,3.3,A,24.25396872,91.37475299,,bridge,11679,N2,
1680,350,NaN,24.2552492,91.37574035,0,link,11680,N2,
1681,1.5,A,24.25652969,91.3767277,,bridge,11681,N2,
1682,302,NaN,24.25769538,91.3774869,0,link,11682,N2,
1683,4.3,A,24.25886108,91.3782461,,bridge,11683,N2,
1684,141,NaN,24.25940506,91.37856609,0,link,11684,N2,
1685,3,A,24.25994903,91.37888608,,bridge,11685,N2,
1686,439,NaN,24.26167708,91.37989415,0,link,11686,N2,
1687,4.2,B,24.26340512,91.38090222,,bridge,11687,N2,
1688,245,NaN,24.26438267,91.38147142,0,link,11688,N2,
1689,2.6,B,24.26536022,91.38204062,,bridge,11689,N2,
1690,411,NaN,24.26701923,91.38290036,0,link,11690,N2,
1691,2,A,24.26867824,91.3837601,,bridge,11691,N2,
