,country,city_abbr,function,coords
666,NL,HEU,--3-----,
667,NL,HES,--3-----,5144N 00508E
668,NL,HYY,--3-----,
669,NL,HKM,1-3-----,5256N 00626E
670,NL,HJM,--3-----,5318N 00446E
671,NL,HIL,1-3-----,
672,NL,HVK,1-3-----,5129N 00508E
673,NL,HVS,123-----,
674,NL,HLP,--3-----,5257N 00524E
675,NL,HPH,--3-----,5254N 00458E
676,NL,ZAX,-----6--,5119N 00346E
677,NL,HVH,123-----,5158N 00407E
678,NL,HBR,--3-----,
679,NL,HZR,--3-----,5145N 00520E
680,NL,HOE,--3-----,
681,NL,HON,--34----,
682,NL,HTW,--3-----,5214N 00635E
683,NL,HBU,-23-----,5202N 00448E
684,NL,HKN,--3-----,5252N 00449E
685,NL,HSO,1-3-----,5243N 00648E
686,NL,HOT,1-3-----,5232N 00620E
687,NL,HLT,--3-----,
688,NL,HME,123-----,5237N 00642E
689,NL,HLW,1-3-----,5323N 00553E
690,NL,HNS,--3-----,
691,NL,HTN,1-------,
692,NL,HFD,--3-----,
693,NL,HPL,1-3-----,5122N 00339E
694,NL,HMD,--3-----,5123N 00507E
695,NL,HOZ,--3-----,
696,NL,HGX,--3-----,5224N 00633E
697,NL,HO2,--3-----,5123N 00516E
698,NL,HOH,--3-----,
699,NL,HMI,1-3-----,5254N 00624E
700,NL,HOV,1-34----,
701,NL,HZD,--3-----,5310N 00646E
702,NL,HGZ,--3-----,5309N 00645E
703,NL,HKP,--3-----,
704,NL,HKK,1-3-----,5313N 00630E
705,NL,HOL,--3-----,
706,NL,HOG,--3-----,
707,NL,HGM,1-3-----,5210N 00435E
708,NL,HOS,--3-----,5213N 00553E
709,NL,HGV,--3-----,
710,NL,HOO,--3--6--,5243N 00456E
711,NL,HRN,123-----,
712,NL,HNA,--3-----,
713,NL,HPT,1-3-----,
714,NL,HOR,--3-----,
715,NL,HOX,--3-----,5112N 00556E
716,NL,HSS,--3-----,5151N 00537E
717,NL,HRS,--3-----,
718,NL,HSA,--3-----,5127N 00603E
719,NL,HOU,1-3-----,
720,NL,HTH,--3-----,
721,NL,HUS,--3-----,5156N 00556E
722,NL,HUI,--3-----,
723,NL,HLS,--3-----,5222N 00628E
724,NL,OSR,--3-----,5222N 00544E
725,NL,HUL,--3-----,
726,NL,HML,--3-----,5200N 00614E
727,NL,HUN,1-3-----,5111N 00549E
728,NL,IDS,--3-----,5256N 05430E
729,NL,IJH,--3-----,5240N 00618E
730,NL,JST,--3-----,5301N 00537E
731,NL,IJM,123-----,5228N 00436E
732,NL,ISM,123-----,5234N 00555E
733,NL,IJI,--3-----,5201N 00503E
734,NL,SL7,1----6--,5129N 00554E
735,NL,IZD,--3--6--,5119N 00337E
736,NL,ILO,1-3-----,5104N 00549E
737,NL,ILP,--3-----,
738,NL,ING,--3-----,5158N 00529E
739,NL,ITR,1-3-----,5054N 00542E
740,NL,ITT,--3-----,
741,NL,JSP,--3-----,5230N 00450E
742,NL,JOU,--3-----,
743,NL,JLD,--3-----,
744,NL,JNE,--3-----,5231N 00630E
745,NL,KAG,--3-----,
746,NL,KAA,--3-----,5212N 00438E
747,NL,KTS,--3-----,
748,NL,KKO,1-3-----,
749,NL,KMR,--3-----,
750,NL,KAM,123-----,
751,NL,KAD,--3-----,5134N 00342E
752,NL,KTN,1-3-----,5322N 00638E
753,NL,KAV,--3--6--,5153N 00523E
754,NL,KPL,--3-----,5128N 00357E
755,NL,KAP,--3-----,
756,NL,KTV,123-----,5230N 00604E
757,NL,KTJ,--3-----,5257N 00603E
758,NL,KAT,1-3-----,5134N 00352E
759,NL,KWK,--3-----,
760,NL,KWI,--3-----,5145N 00552E
761,NL,KWR,1-3-----,5212N 00425E
762,NL,KAZ,--3-----,5212N 00425E
763,NL,KWO,--3-----,5228N 00502E
764,NL,KNT,1-3-----,5142N 00542E
765,NL,KEB,--3-----,
766,NL,KZV,1-3-----,5143N 00454E
767,NL,KEK,--3-----,5152N 00600E
768,NL,KDK,--3-----,5135N 00535E
769,NL,KPE,1-3-----,5113N 00550E
770,NL,KRD,1-3-----,5146N 00520E
771,NL,KER,--3-----,
772,NL,KEW,--3-----,5147N 00513E
773,NL,KSL,1-3-----,
774,NL,KST,1-3-----,
775,NL,KHV,1-3-----,5235N 00545E
776,NL,KIJ,--3-----,
777,NL,KLW,--3-----,
778,NL,KBK,--3-----,5210N 00605E
779,NL,KLZ,1-3-----,5244N 00700E
780,NL,KNZ,-----6--,5129N 00439E
781,NL,KLN,-----6--,5053N 00553E
782,NL,KOT,--3-----,5130N 00355E
783,NL,KTL,-----6--,5309N 00559E
784,NL,KLV,1-3-----,5300N 00631E
785,NL,KLT,--3-----,
786,NL,KLU,1-------,
787,NL,KDJ,--3-----,5240N 00445E
788,NL,KOE,--3-----,5242N 00619E
789,NL,KWT,--3-----,
790,NL,KOL,--3-----,5238N 00457E
791,NL,KHA,--3-----,5311N 00644E
792,NL,KHR,1-3-----,5248N 00453E
793,NL,KLM,1-3-----,5317N 00609E
794,NL,KUN,--3-----,5317N 00608E
795,NL,KML,--3-----,5317N 00620E
796,NL,KGH,--3-----,5103N 00557E
797,NL,KGT,-----6--,5121N 00600E
798,NL,KGZ,--3-----,5228N 00448E
799,NL,ZBB,-----6--,5313N 00606E
800,NL,KW2,--3-----,5209N 00540E
801,NL,KOI,--3-----,5148N 00419E
802,NL,ZAN,-----6--,5311N 00615E
803,NL,KWZ,--3-----,5304N 00520E
804,NL,KHM,--3-----,5304N 00605E
805,NL,KTH,--3-----,
806,NL,KOG,--3-----,
807,NL,KOR,--3-----,5208N 00436E
808,NL,KOK,--3-----,
809,NL,KDM,--3-----,5255N 00527E
810,NL,IJK,123-----,5126N 00407E
811,NL,KGB,--3-----,5239N 00553E
812,NL,KMS,1-3-----,
813,NL,KRE,1-3-----,5248N 00452E
814,NL,KRP,--3-----,5154N 00438E
815,NL,KAI,1-3-----,5155N 00436E
816,NL,KDO,--3-----,5213N 00616E
817,NL,KRM,--3-----,
818,NL,KNG,-23-----,5125N 00600E
819,NL,KRU,--3-----,
820,NL,KLD,--3-----,5134N 00425E
821,NL,KDS,--3-----,5214N 00445E
822,NL,KHO,1-3-----,5315N 00601E
823,NL,KWA,--3-----,
824,NL,KWJ,--3-----,5232N 00459E
825,NL,KWS,--3-----,
826,NL,LGK,--3-----,5200N 00613E
827,NL,LAA,--3-----,5132N 00538E
828,NL,LTS,1-3-----,
829,NL,LMI,--3--6--,5124N 00509E
830,NL,LAW,1-3-----,
831,NL,LZA,1-3-----,5143N 00444E
832,NL,LGD,1-3-----,5314N 00643E
833,NL,LWE,1-3-----,5317N 00700E
834,NL,LBG,--3-----,5245N 00501E
835,NL,LAD,--3-----,5142N 00540E
836,NL,LGB,1-3-----,
837,NL,LAF,--3-----,
838,NL,LAM,--3-----,
839,NL,LAK,--3-----,5201N 00521E
840,NL,LIK,--3-----,5241N 00448E
841,NL,LGI,1-3-----,5251N 00551E
842,NL,LGO,-----6--,5306N 00627E
843,NL,LAB,--3-----,5142N 00544E
844,NL,LAG,--3-----,
845,NL,LWG,1-3-----,5139N 00440E
846,NL,LZG,--3-----,
847,NL,LGW,--3-----,5258N 00543E
848,NL,LSG,--3-----,5159N 00430E
849,NL,LAR,--3-----,
850,NL,LTU,--3-----,5159N 00601E
851,NL,LAN,1-------,
852,NL,LWI,--3-----,5319N 00618E
853,NL,LEE,--3-----,
854,NL,NDE,--3-----,5121N 00533E
855,NL,LES,1-3-----,5322N 00623E
856,NL,LRB,--3-----,5154N 00503E
857,NL,LRD,1-3-----,
858,NL,LER,--3-5---,
859,NL,LWR,1234----,
860,NL,LUW,--3-----,5316N 00546E
861,NL,LID,1234----,
862,NL,LDD,1-3-----,
863,NL,LDS,--3-----,
864,NL,LSV,--3-----,5205N 00424E
865,NL,LMU,--3-----,
